years_practice,school,name,title,graduate_year,specialties,insurance
15+ Years,UCSD/SDSU Joint Doctoral Program,Christine Bernet,"Psychologist,, ,PhD",1996,"Depression,Parenting,Sexual Abuse","APS Healthcare,Aetna,Anthem,BlueCross and BlueShield,ChoiceCare,Cigna,Medicare,Optum,TRICARE,TriWest,ValueOptions,Out of Network"
15+ Years,Gordon-Conwell Theological Seminary,Matthew Holley,"LMFT,MA,, ,Marriage & Family Therapist",2000,"Gay,Transgender,Family Conflict","Cigna,TRICARE"
,University of San Diego,Georgie Kelly,"LPC Intern, ,PCCI,MA,, ",2015,"Transgender,Child or Adolescent,Coping Skills",
15+ Years,San Diego State University,Lynn C Francis,"LMFT,MA,MS,, ,Marriage & Family Therapist",2000,"Relationship Issues,Life Coaching,Divorce",
5 Years,"Alliant International University, CSPP",Kristina Miholich,"PsyD,Psychologist,MA,, ",2011,"Mood Disorders,Testing and Evaluation,Relationship Issues","Anthem,Blue Cross,MHN,TRICARE,Out of Network"
9 Years,"Alliant International University, Los Angeles",Kristen Hashioka,"PsyD,Psychologist,BSN,, ",2011,"Depression,Anxiety,Addiction",Out of Network
15+ Years,Pacifica Graduate Institute,Karen Rose Molenda,"LMFT,MA,, ,Marriage & Family Therapist",1997,"Sex Therapy,Relationship Issues,Mood Disorders","Aetna,Anthem,Blue Care Network,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Employee Assistance Programs (EAP),Human Affairs International of Californi,Magellan Behavioral Health,UniCare,Out of Network"
5 Years,UCLA/ Pepperdine University,April Hinrichsen,"MFT,MA,, ,Marriage & Family Therapist",,,"Can provide superbill receipt,Out of Network"
41 Years,Alliant International University (formerly USIU),Charles E Nelson,"Psychologist,MFT,, ,PhD",1984,"Relationship Issues,Alcohol Abuse,Trauma and PTSD","All PPO insurance, but Out of Network...by choice.,Paypal Accepted,Square Cash,Out of Network"
,,Achieve TMS: Free Consultation,Psychiatrist,,"Depression,Anxiety,Mood Disorders","Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,Free Insurance Check,Most Private Insurance Accepted,Optum,TRICARE,UnitedHealthcare,Out of Network"
10+ Years,National University,Shawn Dee Hartless,"LEP,MFT,MA,, ,Marriage & Family Therapist",2002,,Out of Network
3 Years,California Southern University,"Claire Babbitt, LMFT, J.D.","JD,LMFT,, ,Marriage & Family Therapist",,"Marital and Premarital,Anxiety,Relationship Issues","ACI Specialty Benefits,Beacon,Blue Shield,CareFirst,Cascade Health,MHN,MHNet Behavioral Health,MINES,Magellan Behavioral Health,ValueOptions,Out of Network"
2 Years,University of Southern California,Jennifer Simpson,"ASW,Pre-Licensed Professional,, ",2015,"Eating Disorders,Trauma and PTSD,Anxiety",
6 Years,Indiana University,Rose Hartzell-Cushanick,"EdS,PhD,LMFT,, ,Marriage & Family Therapist",2009,"Sex Therapy,Relationship Issues",
30+ Years,Alliant International University,The Center for Couples Therapy,"PsyD,MFT,, ,Marriage & Family Therapist",2000,"Relationship Issues,Sex Therapy,Divorce","Harrington Health (for Kaiser),Out of Network"
16 Years,University of Southern Maine,Elaine R Garmon,", ,MS,BCC",2001,"Women's Issues,Life Coaching,Life Transitions",
10+ Years,National University,Jennie Abito-Carlestav,"LMFT,MA,, ,Marriage & Family Therapist",2001,"Divorce,Grief,Child or Adolescent","Behavioral Health Systems,ComPsych,Medi-Cal,Out of Network"
10+ Years,United States International University,Jeri Ann Karlsberg,"PsyD,, ,Marriage & Family Therapist",1998,"Relationship Issues,Depression,Grief","Aetna,Anthem,Behavioral Health Systems,BlueCross and BlueShield,Ceridian,Cigna,ComPsych,First Health,Health Net,Humana,MHN,Magellan Behavioral Health,Multiplan,Optum,TRICARE,UnitedHealthcare,VMC,ValueOptions"
,,"Margaret Miller, LCSW","LCSW,Clinical Social Work/Therapist,, ",,"Anxiety,Depression,Coping Skills","Cigna,Out of Network"
13 Years,University of San Diego,Anna Barbara Dowd,"LMFT,MA,, ,Marriage & Family Therapist",2003,,Out of Network
20+ Years,Pepperdine University,San Diego Marriage and Family Therapy,"MFT,, ,Marriage & Family Therapist",1986,"Addiction,Divorce,Parenting","Aetna,BlueCross and BlueShield,Hours 6am - 4pm,Military OneSource,Out of Network"
20+ Years,Loyola University Chicago,Loretta Lowery,"LCSW,Clinical Social Work/Therapist,, ",1994,"Depression,Anxiety,Relationship Issues","Anthem,BlueCross and BlueShield,Magellan Behavioral Health,PPO's,Out of Network"
8 Years,,Mariya Kholodova,"Psychologist,, ,PhD",,"Trauma and PTSD,Relationship Issues,Anxiety","Aetna,BlueCross and BlueShield,Magellan Behavioral Health,Out of Network"
,,"Lindsey Schmidt, LMFT","LMFT,MA,, ,Marriage & Family Therapist",,"Anxiety,Depression,Trauma and PTSD","Aetna,Aetna EAP,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Blueshield EAP,Cigna,EAP Anthem Bluecross,EAP Cigna,Health Advocate EAP,Magellan Behavioral Health,TRICARE,TriWest,WellPoint,Out of Network"
14 Years,,Mandy Pfaff,"LMFT,MA,, ,Marriage & Family Therapist",,"Trauma and PTSD,Anxiety,Sleep or Insomnia",Out of Network
8 Years,Boston University,The Center for Stress and Anxiety Management,"Psychologist,, ,PhD",2007,"Anxiety,Depression,Mood Disorders","PPO-out of network,Out of Network"
9 Years,University of Hawaii,Beach Psychotherapy,"LPCC,, ,Marriage & Family Therapist",2006,"Child or Adolescent,Teen Violence,Coping Skills","Aetna,BlueCross and BlueShield,Ceridian,Cigna,ComPsych,Humana,Magellan Behavioral Health,Multiplan,TRICARE,TriWest,ValueOptions,Out of Network"
,,Joerg Ineichen,Marriage & Family Therapist Intern,,,
15+ Years,National University,Maggie Locke,"MA,, ,Marriage & Family Therapist,Practio,SE, ,MFT,CBT, ",1997,"Depression,Anxiety,Trauma and PTSD","Anthem,PPO plans"
9 Years,Alliant International University,Timber R Zwickilton,"PsyD,Psychologist,, ",2009,"Depression,Anxiety,Relationship Issues","Anthem,BlueCross and BlueShield,MHN,Out of Network"
20+ Years,California School of Professional Psychology,Charles E Farrow,"Psychologist,, ,PhD",,"Adjusting to Medical Conditions,Depression,Anxiety",
6 Years,Seattle Pacific University,"Laara Israhel, LMFT","LMFT,, ,Marriage & Family Therapist",1998,"Relationship Issues,Career Counseling,Trauma and PTSD","ACI Specialty Benefits,Aetna,Beacon,Blue Shield,Ceridian,Cigna,Coventry,Health Net,Humana,LifeSynch,MHN,MHNet Behavioral Health,Magellan Behavioral Health,Multiple EAP's,Sand Creek,TRICARE,ValueOptions,Out of Network"
,University of San Diego,Tatevik 'Tati' Khachatryan,"LPCC,Counselor,, ",2010,"Depression,Anxiety,Trauma and PTSD","Cigna,Molina,Optum,TRICARE,TriWest,UnitedHealthcare"
30+ Years,Alliant International University,Shaul M Saddick,"QME,Psychologist,MA,, ,PhD",1981,"Trauma and PTSD,Relationship Issues,Testing and Evaluation","Coventry,Magellan Behavioral Health,UnitedHealthcare,Out of Network"
20+ Years,California School of Professional Psychology,Nina Akin,"Psychologist,, ,PhD",1996,"Anxiety,Hoarding,Gambling",Out of Network
5 Years,University of Massachusetts Boston,Nancy J Lin,"Psychologist,, ,PhD",,"Sleep or Insomnia,Trauma and PTSD,Gambling","Medicare,TRICARE,TriWest,Out of Network"
11 Years,University of San Diego,Sol Durso,"MA,, ,Marriage & Family Therapist",2006,"Relationship Issues,Depression,Women's Issues","Aetna,Blue Shield,BlueCross and BlueShield,Magellan Behavioral Health,TRICARE,TriWest,Out of Network"
9 Years,Simmons College School of Social Work,Jill Silverman,"LCSW,Clinical Social Work/Therapist,, ",2002,"Relationship Issues,Depression,Stress Management","Any PPO plan,Harrington Benefits,ValueOptions"
6 Years,Bethel Seminary San Diego,Kari Katzenmeier,"LMFT,RPT,, ,Marriage & Family Therapist",2010,"Anxiety,Depression,Child or Adolescent","TRICARE,Out of Network"
10+ Years,California School of Professional Psychology,Emilie Sfregola,"PsyD,Psychologist,, ",2010,"Depression,Anxiety,Relationship Issues","Anthem,Out of Network"
,,Christina Heymoss,"Marriage & Family Therapist Intern, ,MA",,"Relationship Issues,Family Conflict,Anxiety",
,,Maria Carolina Court,"MD,, ,Psychiatrist",,"Child or Adolescent,Trauma and PTSD,Pregnancy, Prenatal, Postpartum",Out of Network
15+ Years,California School of Professional Psychology,Daniel R. Blaess,"Psychologist,, ,PhD",1998,"Depression,Relationship Issues,Personality Disorders","Aetna,Anthem,Blue Care Network,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Medicaid,Medicare,Military OneSource,Optum,PacifiCare,TRICARE,TriWest,UnitedHealthcare,ValueOptions,WellPoint,Out of Network"
15+ Years,CA School of Professional Psychology,"Love Psychology, Inc.","PsyD,Psychologist,QME,PDMS, ,, ",2000,"Anxiety,Trauma and PTSD,Sleep or Insomnia","Aetna,Anthem,Blue Shield,BlueCross and BlueShield,ChoiceCare,Cigna,Coventry,Coventry Work Comp,First Health,Health Net,Humana,Magellan Behavioral Health,MagnaCare,Molina,Optum,TRICARE,TriWest,Zenith Work Comp,Out of Network"
10 Years,Alliant International University,David M Blair,"LMFT,, ,Marriage & Family Therapist",2005,"ADHD,Depression,Mood Disorders","Aetna,Cigna"
5 Years,Alliant International University/ California School of Professional Psychology,Thrive Therapy Studio,"PsyD,Psychologist,, ",2011,"Child or Adolescent,Anxiety,Parenting",Out of Network
,Alliant International University - CSPP,Tanya L Hilber,"PsyD,Psychologist,, ",2010,"Anxiety,ADHD,Child or Adolescent","APS Healthcare,Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,EAP plans,Magellan Behavioral Health,PPO plans,TRICARE,TriWest,Out of Network"
6 Years,California School Of Professional Psychology,Lorena Aguila,"Psychologist,, ,PhD",2003,,Aetna
5 Years,University of Phoenix,"Kiya Duviella, M.S., LMFT","LMFT,MS,, ,Marriage & Family Therapist",2014,"Child or Adolescent,Depression,Trauma and PTSD",
10+ Years,California School of Professional Psychology,Mariela G Shibley,"PsyD,Psychologist,, ",2008,"Relationship Issues,Depression,Anxiety","Aetna,TRICARE,Out of Network"
,Alliant International University,Kelly Hendricks,"Marriage & Family Therapist Intern, ,MA",2011,"Relationship Issues,Infidelity,Marital and Premarital",Out of Network
15+ Years,California School of Professional Psychology,Stacy T. Watnick,"Psychologist,, ,PhD",2001,"Relationship Issues,Anxiety,Depression","Aetna,Aetna EAP,TriWest,Out of Network"
,,Ryan Berwold,"LMFT,, ,Marriage & Family Therapist",,"Addiction,Child or Adolescent,Trauma and PTSD",
10+ Years,California School of Professional Psychology,Chad K Cox,"PsyD,Psychologist,, ",2008,"Mood Disorders,Addiction,Anxiety","Aetna,Behavioral Health Systems,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Health Net,MHN,MHNet Behavioral Health,PacifiCare,UnitedHealthcare,ValueOptions,Out of Network"
22 Years,Our Lady of the Lake University,Michele Peterson,"LCSW,Clinical Social Work/Therapist,, ",1995,,Out of Network
8 Years,Fuller Theological Seminary,Cory Anderson,"CMAT,MFT,CSAT,, ,Marriage & Family Therapist",2005,"Sexual Addiction,Alcohol Abuse,Drug Abuse",Out of Network
5 Years,California School of Professional Psychology,Jennifer McCarthy,"RN,LMFT,, ,Marriage & Family Therapist",2007,"Asperger's Syndrome,Anxiety,Substance Abuse",
5 Years,Alliant International University,Klarece Grudzinski,"LMFT,, ,Marriage & Family Therapist",2011,"Stress,Anxiety,Trauma and PTSD","Blue Shield,Cigna,Health Net,Optum,UnitedHealthcare,Out of Network"
7 Years,,Labrie S French-Asaro,"MFT,MC,, ,Marriage & Family Therapist",2005,"Anxiety,Marital and Premarital,Grief","Anthem,Blue Cross,Cigna,Out of Network"
5 Years,,Sharon Leslie Bain,"Marriage & Family Therapist Intern, ,MA,, ,MRS",,,
30+ Years,Santa Clara University,Aliza Berk,"LMFT,, ,Marriage & Family Therapist",1984,"Grief,Relationship Issues,Chronic Pain","Cigna,TRICARE,TriWest"
20+ Years,Rhodes University,Debra L Jedeikin,"LMFT,MA,RPT,, ,Marriage & Family Therapist",1992,"Family Conflict,Child or Adolescent,Parenting",Out of Network
10+ Years,San Diego State University,Cara Allen,"LCSW,Clinical Social Work/Therapist,, ,MSW,MM, ,OSW-C",2001,"Grief,Coping with Cancer,Life Transitions",Out of Network
9 Years,Alliant International University,Stephanie Knatz Peck,"Psychologist,BCIA,, ,PhD",2012,"Eating Disorders,Anxiety,Depression","PPO,Out of Network"
,,"Sarah Cook Ruggera, LMFT","LMFT,MA,, ,Marriage & Family Therapist",,"Infidelity,Marital and Premarital,Relationship Issues",TRICARE
6 Years,Alliant International University,Erin E Brody,"PsyD,Psychologist,, ",2003,"Mood Disorders,Anxiety,Parenting","Aetna,Cigna,Sharp,TRICARE,TriWest,Out of Network"
15+ Years,California Institute of Integral Studies,Melody French,"PsyD,MSW,Psychologist,, ",2012,"Anxiety,Depression,Parenting","Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Out of Network"
7 Years,National University,Elise Rodriguez,"LMFT,MA,, ,Marriage & Family Therapist",2009,"Relationship Issues,Depression,Anxiety",
20+ Years,San Diego State University,Karen Accardo-Baquero,"LCSW,Clinical Social Work/Therapist,, ",1988,,"Aetna,Also on many EAP panels,Anthem,BlueCross and BlueShield,Cash pay,Ceridian,Horizon Healthcare,MHN,Magellan Behavioral Health,Medicare,Meridian,Optum,TRICARE,TriWest,WellPoint,Out of Network"
10 Years,Alliant International University,Joe Hassell,"Psychologist,, ,PhD",2009,"Trauma and PTSD,Traumatic Brain Injury,Addiction",
,San Diego State University,Navid Zamani,"LMFT,MS,, ,Marriage & Family Therapist",,"Domestic Violence,Trauma and PTSD,Grief",
12 Years,Trinity College of Graduate Studies,Aimee Cornelius Pearson,"PsyD,Psychologist,MA,, ",2005,"Trauma and PTSD,Anxiety,Depression","Cigna,Magellan Behavioral Health,Out of Network"
15+ Years,San Diego State University,Darlene Tando,"LCSW,Clinical Social Work/Therapist,, ",2000,"Transgender,Anxiety,Parenting","Aetna,Anthem,Blue Cross,Cigna,Health Net,MHN,TriWest,ValueOptions,Out of Network"
15+ Years,San Diego University for Integrative Studies,Lynn Lunceford,"PsyD,Psychologist,, ",2004,"Relationship Issues,Depression,Forensic Evaluations, Selective Mutism","Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,MHN,Optum,TRICARE,TriWest,UnitedHealthcare,Out of Network"
10+ Years,California School of Professional Psychology,Beth Creager Berger,"Psychologist,, ,PhD",2000,"Anxiety,Coping Skills,Stress/ Life Transitions",Out of Network
15+ Years,United States International University,Laura Carr,"LMFT,MA,, ,Marriage & Family Therapist",1998,"Relationship Issues,Depression,Anxiety",Out of Network
10+ Years,"University at Albany, SUNY",Jennifer Shapiro,"Psychologist,CEDS,, ,PhD",2004,"Eating Disorders,Obesity,Weight Loss","*This is constantly changing. Please inquire.,Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,GEHA,Health Net,Magellan Behavioral Health,TRICARE,TriWest,Out of Network"
5 Years,Santa Clara University,Reena Mittal,"LMFT,MA,, ,Marriage & Family Therapist",2010,"Depression,Anxiety,Relationship Issues",Out of Network
,,Veronica Deatrick,Psychiatric Nurse,,"Depression,Anxiety,Mood Disorders","Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,Free Insurance Check,Most Private Insurance Accepted,Optum,TRICARE,UnitedHealthcare,Out of Network"
6 Years,Alliant International University,Kerreen M Chau,"LMFT,MA,, ,Marriage & Family Therapist",2005,"Relationship Issues,Depression,Child or Adolescent","BlueCross and BlueShield,Most PPO'S,TRICARE,TriWest,Out of Network"
15+ Years,California School of Professional Psychology,Jennifer Schere,"Psychologist,, ,PhD",1998,,Aetna
,University of Wisconsin Madison,Doriane Besson,"Psychologist,, ,PhD",,"Depression,Anxiety,Trauma and PTSD",
15+ Years,University of San Diego,Rosanne Hiller,"MFT,MA,, ,Marriage & Family Therapist",1999,"Relationship Issues,Anxiety,Depression",
20+ Years,ASU,Rhonda Mason LCSW,"LCSW,Clinical Social Work/Therapist,, ",1979,"Anxiety,Depression,Relationship Issues","APS Healthcare,Aetna,BlueCross and BlueShield,CCN,Corphealth,Health Net,MHN,Magellan Behavioral Health,Medicare,Multiplan,PHCS,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Wellpoint,Out of Network"
10+ Years,Alliant National University,Kelsey Paulson,"Psychologist,, ,PHD",,"Behavioral Issues,Coping Skills,Trauma and PTSD",
8 Years,National University,Karin Guefen,"LMFT,MA,, ,Marriage & Family Therapist",1987,,
,,Mary Elaine Heard,"LPCC,Counselor,MA,, ",,"Trauma and PTSD,Anxiety,Child or Adolescent","Magellan Behavioral Health,Optum,Out of Network"
10+ Years,"California State University, Fullerton",Deborah Lynn Skvarna,"MFT,MS,, ,Marriage & Family Therapist",1990,"Depression,Anxiety,Relationship Issues",
,,Marla Jean English,"LCSW,Clinical Social Work/Therapist,, ",,"Anxiety,Depression,Trauma and PTSD",
15+ Years,University of Texas,Kay Richardson,"PCC,MFT,, ,Marriage & Family Therapist",1991,"Life Coaching,Career Counseling,Spirituality",Out of Network
10+ Years,,Matt Burgan,"MFT,, ,Marriage & Family Therapist",,"Sexual Abuse,Relationship Issues,Marital and Premarital","Aetna,Beacon,Blue Shield,Ceridian,Military OneSource,TRICARE,TriWest"
10+ Years,Coach for Life,Sabine Starr,ACC,2008,"Self Esteem,Life Transitions,Anxiety",
9 Years,California School of Professional Psychology,Candice Seti,"PsyD,Psychologist,, ",2005,"Weight Loss,Eating Disorders,Self Esteem","All PPO Plans,Out of Network"
20+ Years,San Diego University for Integrative Studies,Peter Lambrou,"Psychologist,, ,PhD",1992,"Anxiety,Trauma and PTSD,Weight Loss",
30+ Years,University of San Diego,Rita K Mccrerey,"MSW,LCSW,Clinical Social Work/Therapist,MA,, ",1980,,"Check with therapist for current insurance,Sliding scale fees available on a limited basis,Out of Network"
2 Years,California School of Professional Psychology,Joseph Severino,"Psychologist,, ,PhD",2011,"Sexual Addiction,Gay,Substance Abuse",Out of Network
10 Years,Fielding Graduate University,Deisy Cristina Boscan,"Psychologist,, ,PhD",1999,"Eating Disorders,Mood Disorders,Obsessive-Compulsive (OCD)","APS Healthcare,Aetna,Anthem,Behavioral Health Systems,BlueCross and BlueShield,First Health,GEHA,Health Net,Humana,MHN,Magellan Behavioral Health,Multiplan,Optum,PHCS,PacifiCare,TRICARE,TriWest,United Health Care,ValueOptions,Out of Network"
